chart_id,pair_id,promise_score,timing_score,volatility_score,harmonic_support,mean_weight,marriage_duration_years,divorce_rate,sun_moon_synastry,short_marriage,long_marriage
C001,WIL-JAD,50.35999999999999,50.35999999999999,0.4533333333333333,3,50.35999999999999,9.73,1,0,1,0
C002,PAU-JOA,85.65000000000002,85.65000000000002,0.38999999999999996,3,85.65000000000002,14.08,0,1,0,1
C003,ELI-RIC,41.2,41.2,0.2866666666666667,3,41.2,8.93,1,0,1,0
C004,JOH-YOK,53.580000000000005,53.580000000000005,0.4666666666666666,3,53.580000000000005,10.09,1,0,1,0
C005,BEY-JAY,87.29,87.29,0.7533333333333333,3,87.29,13.62,0,1,0,1
C006,CHR-JOH,93.57,93.57,0.5733333333333334,3,93.57,14.7,0,1,0,1
C007,TOM-RIT,78.6,78.6,0.5133333333333333,3,78.6,13.01,0,1,0,1
C008,MIC-CAT,79.25,79.25,0.6633333333333333,3,79.25,12.82,0,1,0,1
C009,GOL-KUR,85.86,85.86,0.21,3,85.86,14.43,0,1,0,1
C010,VIC-DAV,88.25,88.25,0.54,3,88.25,14.12,0,1,0,1
C011,OPR-STE,54.5,54.5,0.7433333333333333,3,54.5,9.7,1,0,1,0
C012,MER-DON,47.81,47.81,0.7633333333333333,3,47.81,8.86,1,0,1,0
C013,BLA-RYA,89.13,89.13,0.6466666666666666,3,89.13,14.03,0,1,0,1
C014,ALI-SWI,53.38,53.38,0.54,3,53.38,9.93,1,0,1,0
C015,GEO-AMA,76.71,76.71,0.8033333333333333,3,76.71,12.26,1,0,1,0
C016,DAX-KRI,68.02,68.02,0.6699999999999999,3,68.02,11.46,1,0,1,0
C017,SER-ALE,86.44,86.44,0.8833333333333333,3,86.44,13.28,0,1,0,1
C018,BEY-JAY,55.169999999999995,55.169999999999995,0.5366666666666666,3,55.169999999999995,10.15,1,0,1,0
C019,SAR-MAT,60.71,60.71,0.84,3,60.71,10.27,1,0,1,0
C020,BAR-MIC,82.94,82.94,0.45,3,82.94,13.64,0,1,0,1
C021,PRI-NIC,79.02,79.02,0.39333333333333337,3,79.02,13.27,0,1,0,1
C022,JEN-BEN,44.14000000000001,44.14000000000001,0.6033333333333334,3,44.14000000000001,8.71,1,0,1,0
C023,MIL-ASH,77.45,77.45,0.7366666666666667,3,77.45,12.47,0,1,0,1
C024,KER-NNA,66.22,66.22,0.6033333333333334,3,66.22,11.36,1,0,1,0
C025,PEN-JAV,82.46,82.46,0.8300000000000001,3,82.46,12.9,0,1,0,1
