Name,Aspect Direction,Bounds Ruler,Chart Pattern,Chart Type,Classification,Decan,Declination,Dignity,Distance AU,Duad,Harmonic Aspects,Hemisphere,House,House Ruler in House,Interpretation,Keywords,Latitude,Longitude Degrees,MPC Number,Magi Linkages,Midpoints,Mode,Object ID,Planet Parans,Planetary Direction,Planetary Pictures,Position,Quadrant,Ray,Retrograde,Ruler,Sect,Sign,Source,Speed,Star Conjunctions,Star Parans,Symbol,Triplicity Ruler,Type
Galactic Center,,,,,,,"-28°59'52""",,,,,,,,,,,,,,,,,,,,"26 sa 29'57""",,,No,,,,,0,,,,,Fixed
Moon,,,,,,,"22°56'24"" S",Peregrine,0.002634895,,,Southern (Below Horizon) / Western,3,,"The emotional security is tied to a thirst for knowledge, philosophical exploration, and the feeling of freedom and forward movement. Emotions are expressed with enthusiasm, optimism, and sometimes bluntness. The native finds comfort in learning, short-distance travel, and communicating with siblings/neighbors. They need mental stimulation and a big-picture view to feel emotionally stable. There is a constant search for emotional truth and meaning, often expressed through storytelling and teaching.","Freedom, Travel (short), Learning, Optimism, Philosophy, Bluntness, Communication, Siblings, Curiosity, Expansion, Faith, Emotional need, Teaching, Mental restlessness, Truth-seeking, Emotional honesty, Storytelling","0°57'51"" S","10°13'49""",,,,Mutable,,,,,"8 sa 9'34""",,,No,Jupiter,Night,Sagittarius,,12.41,,,B,Sun (Day Ruler),Classical
Great Attractor,,,,,,,"-60°49'27""",,,,,,,,,,,,,,,,,,,,"13 sa 36'20""",,,No,,,,,0,,,,,Fixed
Saturn,,Mars,,,,,"22°41'31"" N",Peregrine,9.329367249,,,Northern (Above Horizon) / Western,9,,"This placement describes lessons and restrictions related to emotional security (Cancer) when applied to belief systems, travel, or higher education (House 9). The native may feel insecure about their knowledge or philosophy, leading to a need for a rigid, traditional, or conservative approach. The retrograde motion suggests internalizing these fears. Learning to trust their own emotional foundation and creating a secure, personal philosophy is key. Long-distance travel may be delayed or taken very seriously.","Restriction, Emotional security, Tradition, Conservatism, Higher education, Self-doubt, Foreign cultures, Philosophy, Retrograde, Inner mastery, Structure, Duty, Travel, Serious study, Moral compass, Long journey","0°44'57"" S","29°22'37""",,,,Mutable,,,,,"29 ge 21'53""",,,Yes,Mercury,Day,Cancer,,-0.0725,,,,Mercury (Day Ruler),Classical
Mercury,,Mars,,,,,"2°44'3"" S",Detriment / Fall,1.152710766,,,Southern (Below Horizon) / Eastern,6,,"The mind is highly intuitive, imaginative, and receptive, often absorbing the mental atmosphere of the environment. Communication can be vague, impressionistic, or artistic, preferring non-verbal cues or creative writing over precise logic. In the house of daily work and service, this placement suggests a need for a compassionate, creative, or healing-focused profession. The native may struggle with organization or logical thinking but excels at intuitive and empathetic problem-solving.","Intuition, Creative, Receptive, Compassionate, Imagination, Service, Health, Artistic expression, Daily routine, Fuzzy logic, Empathetic listening, Fantasy, Psychic sensitivity, Martyrdom, Non-linear thinking, Selfless work, Visionary","2°30'43"" S","28°55'11""",,,,Mutable,,,,,"28 pi 39'24""",,,No,Jupiter,Day,Pisces,,1.5823,,,C,Mars (Night Ruler),Classical
Virgo Cluster,,,,,,,"12°51'44""",,,,,,,,,,,,,,,,,,,,"0 li 34'58""",,,No,,,,,0,,,,,Fixed
Sun,,Mars,,,,,"8°4'47"" N",Exaltation,1.002010103,,,Northern (Above Horizon) / Western,7,,"The native's identity and ego are passionately expressed through relationships and partnerships (House 7). The need to be a leader or initiator is often projected onto others or is found in a partner. There is a fiery, energetic approach to commitment and a tendency to attract powerful, sometimes competitive, partners. They thrive on one-on-one interaction and may use relationships as a mirror to understand themselves. The core life purpose is found in learning the art of collaboration while maintaining the Aries drive for self-assertion.","Partnership, Self-assertion, Marriage, Relationships, Open enemies, Energy, Passion, Competitive, Diplomacy, Collaboration, Initiation, Projection, Legal matters, One-on-one, Co-dependency, Vital force, Independence","0°0'0"" S","20°41'22""",,,,Cardinal,,,,,"20 ar 31'33""",,,No,Mars,Day,Aries,,0.9811,,,A,Sun (Day Ruler),Classical
Venus,,Venus,,,,,"9°25'36"" S",Exaltation,0.734677833,,,Southern (Below Horizon) / Eastern,5,,"This is a highly romantic, compassionate, and idealistic placement for love and pleasure. The native seeks romantic transcendence and may idealize lovers or creative projects. They express love with immense, often sacrificial, devotion. Creativity (House 5) is fluid, artistic, and deeply emotional (Pisces). Their desires are often spiritualized, and they may be drawn to imaginative, musical, or theatrical arts. The potential for being easily hurt or disillusioned by harsh realities in love is high.","Romantic, Compassion, Self-sacrifice, Creativity, Idealism, Selfless love, Imagination, Hidden desires, Children, Pleasure, Artistic talent, Deep empathy, Fantasy, Disillusionment, Theatrical, Devotion, Tender, Musical","0°30'5"" N","4°24'45""",,,,Mutable,,,,,"4 pi 14'32""",,,No,Jupiter,Night,Pisces,,1.2008,,,,Mars (Night Ruler),Classical
Jupiter,,Venus,,,,,"9°35'15"" S",Domicile (Ruler),5.702580502,,,Southern (Below Horizon) / Eastern,5,,"Jupiter is in its sign of rulership, making this a powerful placement for luck and expansion in areas of creativity, romance, and pleasure (House 5). The native is generous, artistic, and finds joy through children, hobbies, and romantic indulgence. There is a deep, compassionate, and sometimes boundless optimism regarding their creative output and love life. They must guard against excess and escapism in their pursuits of pleasure.","Optimism, Creativity, Spiritual growth, Generosity, Romance, Children, Luck, Expansion, Compassion, Artistry, Enjoyment, Benevolence, Excess, Faith, Imagination, Theatrical, Creative flow","0°52'21"" S","7°26'40""",,,,Mutable,,,,,"7 pi 24'37""",,,No,Jupiter,Day,Pisces,,0.2058,,,F,Mars (Night Ruler),Classical
Mars,,Saturn,,,,,"24°52'50"" N",Peregrine,1.802519326,,,Northern (Above Horizon) / Western,9,,"The energy and drive (Mars) are channeled into grand vision, philosophical conviction, and education (House 9). This placement suggests a bold, charismatic, and dramatic approach to higher learning, teaching, or foreign travel. The native is fiercely protective of their beliefs and will argue passionately for their worldview. They have a strong desire to inspire others and may have a powerful, ego-driven drive to be a respected authority in their field. There is great motivation for exploration and adventure.","Leadership, Grand vision, Philosophy, Teaching, Charisma, Faith, Boldness, Foreign travel, Legal action, Passion, Inspiration, Ego-driven, Self-righteousness, Drama, Moral courage, Conviction, Exploration","1°33'23"" N","24°26'09""",,,,Mutable,,,,,"24 ge 20'15""",,,No,Mercury,Night,Leo,,0.5906,,,E,Mercury (Day Ruler),Classical
