MPC Number,Name,Type,Keywords,Interpretation,Declination,Distance AU,Speed,Position,Retrograde,Aspect Direction,Bounds Ruler,Chart Pattern,Chart Type,Classification,Decan,Dignity,Duad,Harmonic Aspects,Hemisphere,House,House Ruler in House,Latitude,Longitude Degrees,Magi Linkages,Midpoints,Mode,Object ID,Planet Parans,Planetary Direction,Planetary Pictures,Quadrant,Ray,Ruler,Sect,Sign,Source,Star Conjunctions,Star Parans,Symbol,Triplicity Ruler
1,Ceres,Dwarf,"Nurturing, Unconditional love, Intellectual, Humanitarian, Unconventional, Group values, Creativity, Children, Social causes, Non-traditional care, Detachment, Progressive, Fostering genius, Emotional feeding, Adoption, Creative rights","The manner of nurturing and connection (Ceres) involves intellectual detachment and humanitarian ideals (Aquarius) applied to creative projects, children, and romance (House 5). The native nurtures others by fostering their uniqueness and intellectual freedom. They may express devotion through progressive or unconventional creative pursuits. The care given is often non-traditional and focused on group values and promoting social equality through expressive arts.","19°1'30"" S",3.452153126,0.3289,"27 aq 20'11""",No,,,,,,,,,,Southern (Below Horizon) / Eastern,5,,"7°5'22"" S","27°23'28""",,,,,,,,,,Saturn,,Aquarius,,,,,
2,Pallas,Asteroid,"Strategy, Wisdom, Justice, Objectivity, Intellect, Home, Family, Foundations, Ancestry, Domestic reform, Patterns, Inner security, Unique solutions, Detachment, Legal strategy, Architectural design, Abstract thought","Strategic intelligence and pattern recognition (Pallas) are applied to the home, family roots, and emotional foundation (House 4) through objective, intellectual, and group-oriented perspectives (Aquarius). The native uses intellect to structure the family environment or to find unique, detached solutions to emotional and domestic issues. They may be a strategist in their community or focus their talents on reform in real estate or traditional family structures.","12°16'9"" N",3.417801911,0.2306,"5 aq 16'25""",No,,,,,,,,,,Southern (Below Horizon) / Eastern,4,,"32°55'4"" N","5°18'43""",,,,,,,,,,Saturn,,Aquarius,,,,,
3,Juno,Asteroid,"Partnership, Marriage, Commitment, Unconventional, Intellectual connection, Freedom, Egalitarian, Genius, Creativity, Romance, Children, Unique alliance, Friendship, Social justice, Mutual respect, Non-traditional fidelity, Equality","The ideal partner/relationship dynamic (Juno) is one that is intellectually stimulating, unconventional, and freedom-oriented (Aquarius) found in the context of romance, pleasure, or creative ventures (House 5). Commitment must be based on equality and mutual respect for personal space. The native seeks a partner who is a friend, a genius, or a humanitarian. Fidelity may be defined unconventionally, prioritizing mental connection over emotional drama.","5°53'52"" S",3.175241203,0.3628,"24 aq 51'37""",No,,,,,,,,,,Southern (Below Horizon) / Eastern,5,,"7°45'16"" N","24°55'14""",,,,,,,,,,Saturn,,Aquarius,,,,,
4,Vesta,Asteroid,"Dedication, Purity, Focus, Sacred, Harmony, Balance, Justice, Spiritual retreat, Subconscious, Hidden devotion, Sacrifice, Inner peace, Quiet service, Solitude, Self-integration, Karmic clearing, Meditation","The area of sacred devotion and inner focus (Vesta) is tied to harmony, justice, and balancing relationships (Libra) but is channeled into the subconscious, spiritual retreat, or selfless service (House 12). The native finds wholeness through quiet meditation, working alone, or dedicating themselves to justice in hidden ways. They must guard against sacrificing their own needs for the sake of peace or partnership harmony in their personal life.","8°23'28"" N",1.268422556,-0.2417,"8 li 17'44""",Yes,,,,,,,,,,Northern (Above Horizon) / Eastern,12,,"12°41'50"" N","8°15'19""",,,,,,,,,,Venus,,Libra,,,,,
5,Astraea,Asteroid,,,"17°29'31""",2.853725882,0.4650528,"4 ge 28'10""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hebe,Asteroid,,,"21°19'21""",2.205191936,0.0922068,"9 le 20'17""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Iris,Asteroid,,,"18° 2'13""",2.10169634,0.3514065,"14 cn 55'52""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Hygiea,Asteroid,"Health, Hygiene, Wellness, Preventive care, Self-care, Cleanliness, Healing, Diet, Exercise, Holistic health, Mind-body connection, Health routines, Sanitation, Organization, Vitality, Balance, Physical well-being","Hygiea represents health, wellness, hygiene, and preventive care. As the Greek goddess of health and daughter of Asclepius, this asteroid shows your approach to maintaining well-being, cleanliness, and bodily care. Hygiea reveals your attitudes toward health routines, self-care practices, diet, and exercise. It indicates where you may experience health issues or possess natural healing abilities. This placement shows your relationship with hygiene, organization of your physical environment, and holistic approaches to wellness. Hygiea emphasizes prevention over cure and the connection between mind, body, and spirit in maintaining health.","5° 5'14""",4.244080727,0.3488684,"6 ar 5'45""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11 Parthenope,Asteroid,,,"4°9'43"" S",,0.5078,,No,,,,,,,,,,,6,,"2°1'13"" S","24°11'32""",,,,,,,,,,,,Pisces,,,,,
16,16 Psyche,Asteroid,,,"16°51'30"" S",,0.2836,,No,,,,,,,,,,,4,,"2°6'40"" N","5°27'51""",,,,,,,,,,,,Aquarius,,,,,
16,Psyche,Asteroid,"Soul, Psyche, Psychology, Transformation through love, Trials, Soul mates, Psychic sensitivity, Shadow work, Unconscious mind, Spiritual evolution, Eternal love, Self-discovery, Integration, Metamorphosis, Butterfly symbolism, Inner beauty, Psychological depth","Psyche represents the soul, psychological depth, and transformation through love and trials. Named for the mortal woman who won immortality through her trials for love of Eros, this asteroid symbolizes the soul's journey toward wholeness. It shows where you experience trials that lead to spiritual growth, deep soul connections with others, and psychological transformation. Psyche reveals your capacity for unconditional love, the wounds you must heal to find your true self, and how you integrate shadow aspects. It indicates psychic sensitivity, the study of the mind (psychology), and the quest for eternal love.","-16°52'12""",2.965548207,0.2840028,"5 aq 25' 0""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Urania,Asteroid,,,"-21°46'38""",2.403624732,0.3015422,"27 cp 49'50""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34 Circe,Asteroid,,,"9°58'53"" S",,-0.2053,,Yes,,,,,,,,,,,1,,"3°52'33"" N","6°21'54""",,,,,,,,,,,,Scorpio,,,,,
34,Circe,Asteroid,"Enchantment, Magic, Transformation, Herbalism, Alchemy, Seduction, Manipulation, Cunning, Isolation, Witchcraft, Potions, Shape-shifting, Shamanism, Illusion, Hidden motives, Transmutation, Bewitchment","Circe represents the enchantress energy of transformation, magic, and the power to transmute reality. As the daughter of Helios who turned men into swine, Circe shows where you possess transformative magical abilities, can cast illusions, and work with herbs and alchemy. This placement reveals your capacity for seduction, manipulation (for better or worse), and creating change through subtle influence. Circe indicates where you may feel isolated on your own island of power, work with shamanism and shape-shifting, and use your knowledge of potions and herbalism. It shows your hidden motivations and cunning abilities.","-9°59'59""",1.529082372,-0.2047061,"6 sc 23'58""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42 Isis,Asteroid,,,"1°30'56"" S",,-0.235,,Yes,,,,,,,,,,,1,,"11°39'21"" N","2°55'47""",,,,,,,,,,,,Scorpio,,,,,
42,Isis,Asteroid,"Magic, Healing, Resurrection, Motherhood, Protection, Divine feminine, Throne, Wisdom, Medicine, Fertility, Devotion, Restoration, Egyptian mysteries, Unconditional love, Teaching, Agriculture, Weaving, Powerful spells","Isis represents magical healing, divine feminine power, resurrection, and protective motherhood. As the great Egyptian goddess who resurrected Osiris and protected Horus, Isis shows where you possess gifts of restoration, magical knowledge, and fierce maternal protection. This placement reveals your capacity for healing through magic, teaching wisdom to others, and bringing the dead back to life (literally or metaphorically). Isis indicates devotion to family, skills in medicine and agriculture, and the ability to weave powerful spells. She represents unconditional love, fertility, and the throne of power.","-1°31'41""",1.561011787,-0.2343947,"2 sc 58' 8""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55 Pandora,Asteroid,,,"29°3'10"" N",,0.3703,,No,,,,,,,,,,,9,,"6°12'47"" N","17°38'14""",,,,,,,,,,,,Gemini,,,,,
55,Pandora,Asteroid,,,"29° 3' 0""",3.059351917,0.370178,"17 ge 34'33""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Niobe,Asteroid,,,"-1° 6' 0""",1.754822384,-0.0072887,"23 le 17' 1""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Eurydike,Asteroid,,,"6° 8' 2""",2.549520195,-0.1508587,"15 vi 39'33""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Diana,Asteroid,"Independence, Wilderness, Hunting, Protection, Autonomy, Nature, Chastity, Self-sufficiency, Fierce femininity, Animals, Moon, Sisterhood, Boundaries, Freedom, Untamed spirit","Embodies independence, wilderness, and fierce protection. As the Roman goddess of the hunt (Greek Artemis), Diana represents self-sufficiency, connection to nature, and the protection of women and children. She shows where you value autonomy, feel most connected to the wild, and defend those who cannot defend themselves. Diana energy is virginal not in the sexual sense, but as 'belonging to oneself.'","-34°17' 9""",2.219619077,0.034275,"24 sa 27'14""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Sappho,Asteroid,,,"12°50'59""",2.386295159,0.2402298,"19 cn 15'33""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Terpsichore,Asteroid,,,"-31°38' 8""",2.994506406,0.1099421,"10 cp 5'28""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Minerva,Asteroid,"Wisdom, Strategy, Intelligence, Craftsmanship, Warfare, Logic, Practical skills, Justice, Mental acuity, Weaving, Defensive action, Civilization, Rational thought, Patronage, Skill","Represents wisdom, strategic warfare, and intellectual craft. As the Roman goddess of wisdom (Greek Athena), Minerva embodies rational intelligence, strategic thinking, and the civilizing arts. This asteroid shows where you apply logic and strategy, defend truth and justice, and excel in practical skills. It reveals your relationship to intellectual pursuits, defensive action, and the wise application of knowledge.","30°10'37""",3.590178774,0.2913719,"16 ge 20'12""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Klotho,Asteroid,,,"-9°53'48""",2.903455374,0.0590934,"2 cp 43'28""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Hekate,Asteroid,"Crossroads, Witchcraft, Magic, Thresholds, Liminal spaces, Necromancy, Night, Torch-bearer, Transitions, Shadow work, Underworld, Keys, Protection, Divination, Herbs, Triple goddess, Crone wisdom, Spirit guide","Hekate (Hecate) represents crossroads, thresholds, magic, and liminal spaces between worlds. As the ancient Greek goddess of witchcraft, night, and necromancy, Hekate shows where you stand at life's pivotal crossroads and receive guidance from the unseen realms. This placement reveals your connection to magic, ability to navigate transitions, and power in threshold moments. Hekate indicates your relationship with the shadow, underworld journeys, and torch-bearing illumination through darkness. She represents the wise crone, keeper of keys, protector during danger, and guide through transformation. Hekate shows your capacity for divination, herbalism, and working with the spirits of the dead.","21°27' 9""",3.717230355,0.1974278,"3 cn 53'43""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Hera,Asteroid,"Marriage, Commitment, Jealousy, Fidelity, Partnership, Queen, Betrayal, Loyalty, Possessiveness, Legitimate power, Marital rage, Sacred union, Wife, Dedication, Relationship challenges","Embodies commitment, jealousy, and the challenges of partnership. As Zeus's wife and queen of the gods, Hera represents marital fidelity, legitimate power through relationship, and the pain of betrayal. This asteroid shows where you seek committed partnership, may struggle with jealousy or possessiveness, and demand loyalty. It reveals your relationship to marriage as an institution and the power dynamics within committed unions.","-17°41' 4""",2.281620291,0.2166586,"13 cp 54' 3""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Kassandra,Asteroid,,,"19°26'51""",2.716518474,0.3812484,"22 ge 46'28""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Lachesis,Asteroid,,,"12° 2'20""",4.29307528,0.3516958,"22 ar 28' 1""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Nemesis,Asteroid,"Revenge, Justice, Karma, Retribution, Balance, Hubris, Divine punishment, Fairness, Consequences, Righteous anger, Equilibrium, Cosmic order, Rebalancing, Humility, Downfall of the proud","Represents divine retribution, justice, and karmic balance. As the goddess of revenge against hubris and undeserved good fortune, Nemesis shows where you seek fairness, balance the scales, and respond to injustice. This asteroid reveals your relationship to righteous anger, the consequences of arrogance, and the restoration of cosmic order. It can indicate where you act as an agent of karma or experience karmic correction.","24°43'19""",2.461365094,0.08353,"9 le 29'58""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Siwa,Asteroid,,,"10°30'12""",3.61562331,0.433157,"3 ta 8'23""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Ophelia,Asteroid,,,"-13°30'33""",4.008077906,0.2702984,"27 aq 25'49""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Atropos,Asteroid,,,"2°26'44""",1.660027027,0.3566533,"12 cp 41'59""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Magdalena,Asteroid,,,"15°46' 5""",3.074464929,0.262695,"5 cn 18'47""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Industria,Asteroid,,,"7°35'27""",1.858100509,0.0829356,"15 le 55' 5""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Persephone,Asteroid,,,"33°42'26""",3.442185342,0.3183397,"16 ge 19'33""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Arachne,Asteroid,"Weaving, Craftsmanship, Patterns, Hubris, Competition, Skill, Pride, Consequences, Transformation, Intricate work, Fate, Threads, Perfectionism, Challenge authority, Creative rivalry","Represents intricate patterns, skilled craftsmanship, and the consequences of hubris. Arachne was a weaver who challenged Athena and was transformed into a spider. This asteroid shows where you possess exceptional talent, create complex connections, and may struggle with pride or competition. It reveals your relationship to perfectionism in craft and the delicate web of consequences following challenge to authority.","-12°29'24""",1.838749974,-0.2158322,"5 li 37' 1""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Hybris,Asteroid,,,"17° 0'53""",3.175279936,0.5304299,"29 ar 58'58""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,432 Pythia,Asteroid,,,"12°59'42"" N",,0.4022,,No,,,,,,,,,,,8,,"4°37'21"" S","18°53'56""",,,,,,,,,,,,Taurus,,,,,
433,433 Eros,Asteroid,,,"7°28'27"" S",,0.5664,,No,,,,,,,,,,,5,,"1°27'37"" N","7°18'9""",,,,,,,,,,,,Pisces,,,,,
433,Eros,Asteroid,"Erotic desire, Passion, Sexual attraction, Creative eros, Objectification, Pursuit, Intimacy, Risk-taking in love, Seduction, Deep connection, Transformative desire, Romantic intensity, Vitality, Life force, Magnetic attraction, Primal urges","Eros represents passionate desire, erotic love, and the transformative power of attraction. This asteroid shows how you experience sexual desires, the thrill of pursuit, and creative passion. It indicates your approach to seduction, objectification, and the types of relationships that ignite your deepest yearnings. Eros reveals where you take risks in pursuit of love and how you connect with others on a profound emotional and physical level. The placement shows your capacity for intense desire and the way attraction transforms you.","-7°31' 4""",2.361606667,0.5661639,"7 pi 12'30""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Photographica,Asteroid,,,"16°12' 8""",2.958793442,0.482326,"25 ta 40'53""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Achilles,Asteroid,,,"13°44'28""",5.80358764,0.2506899,"17 ar 26' 4""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,763 Cupido,Asteroid,,,"12°43'34"" N",,0.6119,,No,,,,,,,,,,,7,,"2°37'48"" N","26°38'25""",,,,,,,,,,,,Aries,,,,,
896,Sphinx,Asteroid,,,"7°18'11""",3.257921017,0.4849946,"5 ar 24'31""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Hidalgo,Asteroid,,,"-57°29'33""",7.208257685,0.1058767,"7 aq 6'39""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Siva,Asteroid,,,"26° 4'17""",1.600735572,0.1154672,"17 le 26'46""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Lilith,Asteroid,"Dark feminine, Sexual power, Rebellion, Repressed desires, Autonomy, Shadow self, Primal instincts, Taboo, Independence, Rage, Empowerment, Exile, Seduction, Untamed nature","Represents the dark feminine, repressed sexuality, and rebellion against patriarchal constraints. Lilith embodies raw, primal feminine power that refuses to be tamed or controlled. In the chart, she reveals where you resist submission, reclaim autonomy, and express your wild, authentic nature. She represents the shadow side of femininity—the parts deemed unacceptable or dangerous by society.","18° 2'50""",3.013277216,0.5321051,"15 ta 29'54""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Atlantis,Asteroid,,,"-3°14'28""",1.934841874,-0.2356126,"29 vi 7'41""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Amor,Asteroid,,,"10° 3'12""",2.960980127,0.4489528,"21 ta 45'35""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,Memoria,Asteroid,,,"18°15' 8""",3.189722694,0.0586771,"5 le 13'55""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,Aphrodite,Asteroid,"Beauty, Love, Romance, Sensuality, Attraction, Aesthetics, Pleasure, Charm, Desire, Artistry, Grace, Seduction, Harmony, Physical appearance, Feminine allure","Embodies beauty, love, and aesthetic appreciation. As the Greek goddess of love and beauty, this asteroid reveals how you experience and express romantic attraction, sensuality, and artistic appreciation. It shows your relationship to physical beauty, pleasure, and the arts. Aphrodite in your chart indicates where you naturally charm others and seek harmony through beauty.","32°34'31""",3.033003851,0.124756,"26 cn 35'34""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Icarus,Asteroid,,,"-22°10'27""",1.951235623,0.2851861,"16 aq 8' 0""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Toro,Asteroid,,,"6°36'37""",1.799192197,1.2232022,"6 ar 32'37""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,Apollo,Asteroid,"Rationality, Music, Prophecy, Healing, Enlightenment, Perfectionism, Logic, Truth, Creativity, Excellence, Light, Inspiration, Divination, Intellectual pursuits, Artistic mastery","Represents the rational mind, creative arts, and prophetic vision. As god of light, music, and prophecy, Apollo shows where you seek perfection, enlightenment, and truth. This asteroid reveals your relationship to logic, artistic expression (especially music and poetry), healing abilities, and pursuit of excellence. It can also indicate where you may struggle with perfectionism or need to balance intellect with emotion.","29°35'11""",2.160779609,0.3049082,"8 cn 44' 3""",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,Sisyphus,Asteroid,,,"39°33' 2""",2.100907944,-0.4373079,"10 li 36'55""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,1923 Osiris,Asteroid,,,"25°23'49"" S",,-0.1169,,Yes,,,,,,,,,,,2,,"5°53'41"" S","27°44'48""",,,,,,,,,,,,Scorpio,,,,,
1923,Osiris,Asteroid,,,"-25°23'38""",1.651103541,-0.1158534,"27 sc 45'59""",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
