category,id,title,life_phrase,keywords,interpretation,citation
sign,Aries,Aries,I am.,initiative;impulsive;pioneering;direct;impatient,"Aries is the mover — self-assertive, action-first. Values directness; learns through starting and leading. Lessons: channel impulse into sustained leadership.",citeturn3view0
sign,Taurus,Taurus,I possess / I build.,steadiness;material security;sensuality;stubbornness;craftsmanship,"Taurus aims for stability and quality; focuses on resources, the body and values; strength in persistence.",citeturn3view1
sign,Gemini,Gemini,I think / I communicate.,information;versatility;curiosity;verbal dexterity;inconsistent,"Gemini organizes and transmits information; adaptable and curious, thrives on exchange.",citeturn2view0
sign,Cancer,Cancer,I nurture / I protect.,home;feeling;memory;instinct;protective,"Cancer concerns security and emotional bonds; instinctive, relational, and protective.",citeturn2view0
sign,Leo,Leo,I will be seen / I create.,authority;self-expression;generosity;drama;pride,Leo is expressive and regal; seeks recognition and creative leadership.,citeturn2view0
sign,Virgo,Virgo,I analyze / I refine.,detail;service;critique;organization;healing,Virgo discriminates and perfects; excels in systems and service; shadow in hyper-critique.,citeturn2view0
sign,Libra,Libra,I relate / I balance.,partnership;aesthetics;diplomacy;indecision;fairness,Libra mediates and values harmony; oriented to relationships and balance.,citeturn2view0
sign,Scorpio,Scorpio,I transform / I possess.,intensity;depth;secrecy;regeneration;power,Scorpio probes transformation through crisis and intimacy; themes of control and rebirth.,citeturn2view0
sign,Sagittarius,Sagittarius,I explore / I teach.,expansion;philosophy;freedom;bluntness;adventure,"Sagittarius quests for meaning through travel, belief and teaching; expansive and candid.",citeturn2view0
sign,Capricorn,Capricorn,I structure / I achieve.,ambition;discipline;authority;restraint;status,Capricorn builds through time and structure; practical and reputation-focused.,citeturn2view0
sign,Aquarius,Aquarius,I innovate / I detach.,originality;humanitarianism;eccentricity;detachment;intellect,"Aquarius reframes social forms; idealistic and inventive, values collective progress.",citeturn2view0
sign,Pisces,Pisces,I dissolve / I union.,empathy;imagination;surrender;transcendence;boundary-blurring,Pisces dissolves boundaries and senses whole patterns; mystical and compassionate; risk of escapism.,citeturn2view0
house,1st,House 1st,"Self, appearance, identity",,"Self, appearance, identity. Detailed cusp variations are on site.",citeturn0search3
house,2nd,House 2nd,"Values, possessions, resources",,"Values, possessions, resources. Detailed cusp variations are on site.",citeturn0search3
house,3rd,House 3rd,"Communication, siblings, immediate environment",,"Communication, siblings, immediate environment. Detailed cusp variations are on site.",citeturn0search3
house,4th,House 4th,"Home, roots, family, private life",,"Home, roots, family, private life. Detailed cusp variations are on site.",citeturn0search3
house,5th,House 5th,"Creativity, children, romance",,"Creativity, children, romance. Detailed cusp variations are on site.",citeturn0search3
house,6th,House 6th,"Work, routine, health",,"Work, routine, health. Detailed cusp variations are on site.",citeturn0search3
house,7th,House 7th,Partnerships & one-to-one relations,,Partnerships & one-to-one relations. Detailed cusp variations are on site.,citeturn0search3
house,8th,House 8th,"Shared resources, transformation",,"Shared resources, transformation. Detailed cusp variations are on site.",citeturn0search3
house,9th,House 9th,"Philosophy, long trips, higher learning",,"Philosophy, long trips, higher learning. Detailed cusp variations are on site.",citeturn0search3
house,10th,House 10th,"Public role, career, reputation",,"Public role, career, reputation. Detailed cusp variations are on site.",citeturn0search3
house,11th,House 11th,"Groups, friends, hopes",,"Groups, friends, hopes. Detailed cusp variations are on site.",citeturn0search3
house,12th,House 12th,"Solitude, hidden enemies, surrender",,"Solitude, hidden enemies, surrender. Detailed cusp variations are on site.",citeturn0search3
planet,Sun,Sun,"identity, will, life-force",,"identity, will, life-force. See site planetary pages for nuance.",citeturn0search9turn2view0
planet,Moon,Moon,"needs, habits, emotions",,"needs, habits, emotions. See site planetary pages for nuance.",citeturn0search9turn2view0
planet,Mercury,Mercury,"communication, thought, commerce",,"communication, thought, commerce. See site planetary pages for nuance.",citeturn0search9turn2view0
planet,Venus,Venus,"values, relationships, aesthetics",,"values, relationships, aesthetics. See site planetary pages for nuance.",citeturn0search9turn2view0
