Data_Category,Identifier,Technical_Detail,Keywords_20_Plus,Detailed_Interpretation,Source_Reference
Fixed Star,BETELGEUSE,Long: 88.68,"supportive tone, amplified by contact, symbolic undertone, situational activation, context dependent, adaptive meaning, secondary effect, minor resonance, responsive quality, latent potential, environmental response, variable outcome, peripheral activation, conditional expression, non-dominant role, background influence, interpretive flexibility, soft imprint, passive influence, modulating factor",Stellar influence on destiny.,Merged_Matrix
Fixed Star,SIRIUS,Long: 107.56,"supportive tone, amplified by contact, symbolic undertone, situational activation, context dependent, adaptive meaning, secondary effect, minor resonance, responsive quality, latent potential, environmental response, variable outcome, peripheral activation, conditional expression, non-dominant role, background influence, interpretive flexibility, soft imprint, passive influence, modulating factor",Stellar influence on destiny.,Merged_Matrix
Fixed Star,DENEbOLA,Long: 151.6,"supportive tone, amplified by contact, symbolic undertone, situational activation, context dependent, adaptive meaning, secondary effect, minor resonance, responsive quality, latent potential, environmental response, variable outcome, peripheral activation, conditional expression, non-dominant role, background influence, interpretive flexibility, soft imprint, passive influence, modulating factor",Stellar influence on destiny.,Merged_Matrix
Fixed Star,PROCYON,Long: 99.96,"supportive tone, amplified by contact, symbolic undertone, situational activation, context dependent, adaptive meaning, secondary effect, minor resonance, responsive quality, latent potential, environmental response, variable outcome, peripheral activation, conditional expression, non-dominant role, background influence, interpretive flexibility, soft imprint, passive influence, modulating factor",Stellar influence on destiny.,Merged_Matrix
Fixed Star,ANTARES,Long: 259.6,"supportive tone, amplified by contact, symbolic undertone, situational activation, context dependent, adaptive meaning, secondary effect, minor resonance, responsive quality, latent potential, environmental response, variable outcome, peripheral activation, conditional expression, non-dominant role, background influence, interpretive flexibility, soft imprint, passive influence, modulating factor",Stellar influence on destiny.,Merged_Matrix
Fixed Star,ALPHECCA,Long: 191.8,"supportive tone, amplified by contact, repressed rage"" ""victim-perpetrator cycle"" ""Medusa wounding, divine favor"" ""soul sovereignty"" ""karmic contract"" ""past life royalty, context dependent, adaptive meaning, secondary effect, situational activation, minor resonance, latent potential, artistic harmony"" ""noble union"" ""fated love, catastrophic separation"" ""mutual destruction"" ""doomed relationship, conditional expression, greatest fortune"" ""noble kingship"" ""explosive wealth"" ""swift success, background influence, martial honor"" ""jupiterian protection"" ""sudden fortune, destined recognition"" ""spiritual authority"" ""incarnated purpose, violent ending"" ""relationship annihilation"" ""rage-filled breakup, creative soulmates"" ""venusian beauty"" ""romantic destiny"" ""pure connection, modulating factor",Stellar influence on destiny.,Merged_Matrix
Fixed Star,SPICA,Long: 158.49,"supportive tone, amplified by contact, symbolic undertone, situational activation, context dependent, adaptive meaning, secondary effect, minor resonance, responsive quality, latent potential, environmental response, variable outcome, peripheral activation, conditional expression, non-dominant role, background influence, interpretive flexibility, soft imprint, passive influence, modulating factor",Stellar influence on destiny.,Merged_Matrix
Fixed Star,REGULUS,Long: 150.05,"supportive tone, amplified by contact, symbolic undertone, situational activation, context dependent, adaptive meaning, secondary effect, minor resonance, responsive quality, latent potential, environmental response, variable outcome, peripheral activation, conditional expression, non-dominant role, background influence, interpretive flexibility, soft imprint, passive influence, modulating factor",Stellar influence on destiny.,Merged_Matrix
House,House 1,Weight: 10.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Identity fusion,MasterMatrix_v3
House,House 2,Weight: 7.5,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Shared values,MasterMatrix_v3
House,House 3,Weight: 5.0,"Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology, Astrology",Communication patterns,MasterMatrix_v3
