chart_id,pair_id,promise_mean,timing_mean,volatility_mean,avg_weight,max_weight,harmonic_support
C001,WIL-JAD,50.35999999999999,46.3312,0.4533333333333333,50.35999999999999,52.36,3
C002,PAU-JOA,85.65000000000002,78.798,0.38999999999999996,85.65000000000002,87.65,3
C003,ELI-RIC,41.2,37.904,0.2866666666666667,41.2,43.2,3
C004,JOH-YOK,53.580000000000005,49.2936,0.4666666666666666,53.580000000000005,55.58,3
C005,BEY-JAY,87.29,80.30680000000001,0.7533333333333333,87.29,89.29,3
C006,CHR-JOH,93.57,86.0844,0.5733333333333334,93.57,95.57,3
C007,TOM-RIT,78.6,72.312,0.5133333333333333,78.6,80.6,3
C008,MIC-CAT,79.25,72.91000000000001,0.6633333333333333,79.25,81.25,3
C009,GOL-KUR,85.86,78.9912,0.21,85.86,87.86,3
C010,VIC-DAV,88.25,81.19,0.54,88.25,90.25,3
C011,OPR-STE,54.5,50.14000000000001,0.7433333333333333,54.5,56.5,3
C012,MER-DON,47.81,43.9852,0.7633333333333333,47.81,49.81,3
C013,BLA-RYA,89.13,81.9996,0.6466666666666666,89.13,91.13,3
C014,ALI-SWI,53.38,49.1096,0.54,53.38,55.38,3
C015,GEO-AMA,76.71,70.5732,0.8033333333333333,76.71,78.71,3
C016,DAX-KRI,68.02,62.57840000000001,0.6699999999999999,68.02,70.02,3
C017,SER-ALE,86.44,79.5248,0.8833333333333333,86.44,88.44,3
C018,BEY-JAY,55.169999999999995,50.756400000000006,0.5366666666666666,55.169999999999995,57.17,3
C019,SAR-MAT,60.71,55.85320000000001,0.84,60.71,62.71,3
C020,BAR-MIC,82.94,76.3048,0.45,82.94,84.94,3
C021,PRI-NIC,79.02,72.6984,0.39333333333333337,79.02,81.02,3
C022,JEN-BEN,44.14000000000001,40.6088,0.6033333333333334,44.14000000000001,46.14,3
C023,MIL-ASH,77.45,71.254,0.7366666666666667,77.45,79.45,3
C024,KER-NNA,66.22,60.9224,0.6033333333333334,66.22,68.22,3
C025,PEN-JAV,82.46,75.86319999999999,0.8300000000000001,82.46,84.46,3
