"Category","Individual Score Range","Scoring Method & Example","Interpretation Notes"
"Romantic Super Linkages (Magi)","0-10","+2 for each (Sun-Venus, Moon-Jupiter, Venus-Pluto, Chiron-Venus, etc.)","1 or more dramatically increases marriage/union probability ."
"Cinderella / Soulmate Linkages","0-6","+2 for each (Sun-Venus, Venus-Neptune, Vertex-Eros, North Node/Lilith)","2 or more often signals elevation through the relationship"
"Moon-Sun/Venus-Jupiter Aspects","0-4","+1 for each trine, conjunction, or sextile","Emotional compatibility, enduring affection"
"Karmic/Node/Vertex Aspects","0-5","+1 for each exact Node, Vertex, Saturn, Chiron, Pluto, or Sappho aspect","Destiny, soul contract, and fated meeting indicators"
"Asteroid Linkages (Juno, Amor)","0-3","+1 for each conjunction/opposition of love asteroids (Juno, Eros, Psyche)","Marriage, sacred partnership, erotic destiny"
"Transformational/Plutonic Aspects","0-3","+1 for each supportive Pluto, Uranus, Neptune, Chiron aspect","Soul transformation and potential for growth"
"Sexual Chemistry","0-3","+1 for each strong Venus-Mars, Venus-Eros, Mars-Lilith aspect","Lasting passion, erotic magnetism"
"Communication & Mental Bonds","0-3","+1 for each Mercury-Venus, Mercury-Jupiter, Mercury-Sun trine/conjunct","Ease of understanding, stimulating exchange"
"Commitment & Endurance","0-3","+1 for each Saturn-Venus/Mars, Saturn-Angle, Saturn-Node trine/sextile","Enduring love, stability, long-term orientation"
"Declinations/Parallels/Contra","0-2","+1 for each exact parallel/contra-parallel of core planets or angles","Hidden strength, unconscious glue"
"House Overlay Scores","0-2","+1 for Sun/Moon/Venus in the 1st, 4th, 5th, 7th, or 10th house overlay","Partnership focused, public or creative synergy"
"Harmonic Aspect Patterns","0-3","+1 for each repeating pattern (stellia, t-squares, kites linking partners)","Signature, soul group, or rare alignment"
"Dispositor/Final Dispositor","0-2","+2 if there is an unbroken dispositor chain shared (esp. Sun, Moon)","Points to shared spiritual or purpose path"
"Midpoints (Sun/Moon, Venus/Mars)","0-2","+1 for each partner's planet within 1° of key midpoints","Synthesis of identity, love, or desire"
"Negative: Heartbreak Clashes","-3 per","-3 for each per Magi system (esp. Venus-Chiron square, Saturn-Sun square)","These can block union; must be compensated by many positives"
"Negative: Nuclear Clashes","-3 per","-3 for each (e.g., Sun-Saturn, Pluto-Ascendant hard aspect)","Disempowering, risk of power struggle, may be neutralized by multiple positives"
