Step,Chart Type,Interpretive Focus,Role in Relationship Dynamics,Interaction with Other Charts
1,Natal Charts,"Core personality, needs, karma",Foundation for compatibility and karmic lessons.,"Feeds synastry, composite, persona and progressed charts; explains individual roles in relationship."
2,Persona Charts,"Ego masks, shadow selves",Reveals hidden roles influencing relationship dynamics.,Clarifies variations in motivation seen in synastry and composite layers.
3,Asteroid Charts,"Soul attraction, healing, commitment, shadow",Adds karmic and spiritual shades to key personal planets.,Highlights Romantic Super-Linkages; deepens harmonic and coalescent interpretations.
4,Fixed Stars,"Destiny signatures, archetypes",Mark fated influences or karmic imprinting on key planets.,Amplify karmic and spiritual themes found in composite and progressed charts.
5,Synastry,Interpersonal compatibilities and challenges,Shows direct energetic exchanges between partners.,"Forms base layer for harmonic, progressed, and transit timing overlays."
6,Composite,CoupleÃ¢ÂÂs combined identity and emotional core,Reveals relationship entity dynamics and joint purpose.,Progressions and solar arcs activate phases predicted by composite planets.
7,Harmonic Charts,Spiritual resonance and karmic potentials,Uncover soul ties and latent abilities specific to the relationship.,Support synastry and composite data with soul-level connection evidence.
8,Coalescent Charts,Unified spiritual frequency,Reveal vibrational attunement and transformational power.,Confirm harmonic and composite insights and their spiritual validity.
9,Solar Arc Directions,Timing developmental triggers,Mark significant shifts and activations in relationship lifecycle.,"Trigger natal, synastry, and composite potentials real-time."
10,Progressions (individual & composite),Evolutionary emotional cycles,Track growth phases and emotional maturity within individuals and couple.,Synchronize with solar arcs and transits for precise timing.
11,Transits,Present external influences,"Activate events, crises, or growth periods based on outer world.",Overlay all charts to produce current timing insights.
12,Antiscion (Antistacia),Hidden karmic or subconscious ties,Reveal magnetic subconscious attractions beyond conscious awareness.,Explain mysterious resonances unresolved by other charts.
13,Arabic Parts,Karmic or thematic points,Symbolize fate and karmic lessons within relationships.,Illuminate hidden dynamics and timing through activations.
14,Parans,Planetary rising/setting synchrony,Mark fate or destiny moments linked to locations and timing.,Add timing nuance to transits and progressed events interpretations.
