Date,Event Type,Zodiac Position,Elongation,Retrograde Status,Speed,Latitude,Source
Jan 23 1974,New Venus - Inferior Conjunction,03° Aquarius,0°00' W,Rx,-0°36',6°40',1
Nov 6 1974,Full Venus - Superior Conjunction,13° Scorpio,0°00' E,Direct,1°15',0°46',1
Aug 27 1975,New Venus - Inferior Conjunction,03° Virgo,0°00' W,Rx,-0°37',-8°25',1
Jan 6 2026,Venus Conjunction Sun,Not in source,0°,Not in source,Not in source,Not in source,2
Jan 7 2026,Venus Conjunction Mars,Not in source,Not in source,Not in source,Not in source,Not in source,2
Jan 19 2026,Venus Conjunction Pluto,Not in source,Not in source,Not in source,Not in source,Not in source,2
Jan 29 2026,Venus Conjunction Mercury,Not in source,Not in source,Not in source,Not in source,Not in source,2
Feb 17 2026,Venus Conjunction Node,Not in source,Not in source,Not in source,Not in source,Not in source,2
Feb 18 2026,Venus Moon Aspect,09°53’ Pisces,Not in source,Not in source,Not in source,Not in source,3
Feb 28 2026,Venus Conjunction Mercury,Not in source,Not in source,Not in source,Not in source,Not in source,2
Mar 7 2026,Venus Conjunction Neptune,Not in source,Not in source,Not in source,Not in source,Not in source,2
Mar 8 2026,Venus Conjunction Saturn,Not in source,Not in source,Not in source,Not in source,Not in source,2
Mar 26 2026,Venus Conjunction Chiron,Not in source,Not in source,Not in source,Not in source,Not in source,2
Apr 23 2026,Venus Conjunction Uranus,Not in source,Not in source,Not in source,Not in source,Not in source,2
Jun 9 2026,Venus Conjunction Jupiter,Not in source,Not in source,Not in source,Not in source,Not in source,2
Oct 6 2026,Venus Conjunction Mercury,Not in source,Not in source,Not in source,Not in source,Not in source,2
Oct 23 2026,New Venus - Inferior Conjunction,00° Scorpio,0°00' W,Rx,-0°36',-6°30',4
Oct 29 2026,Morning Rise (First day of visibility),27° Scorpio,8°23' W,Rx,-0°33',-5°28',4
Nov 13 2026,Morning Station (Stationary->rect),22° Scorpio,28°46' W,Rx,0°00',-1°39',4
Nov 26 2026,Max Brightness (-4.9m),26° Scorpio,38°49' W,Direct,0°27',0°53',4
Jan 3 2027,Greatest Elong. (West Morning),26° Scorpio,46°51' W,Direct,1°01',3°23',4
Jul 6 2027,Morning Setting (Last day of visibility),04° Gemini,9°59' W,Direct,1°13',0°04',4
Aug 11 2027,Full Venus - Superior Conjunction,19° Leo,0°00' E,Direct,1°14',1°14',4
Sep 17 2027,Evening Rise (First day of visibility),04° Libra,9°55' E,Direct,1°14',1°14',4
Mar 22 2028,Greatest Elong. (East Evening),18° Aries,46°02' E,Direct,0°59',2°59',4
Apr 27 2028,Max Brightness (-4.7m),16° Gemini,38°33' E,Direct,0°26',4°55',4
May 10 2028,Evening Station (Stationary->retrograde),19° Gemini,28°53' E,Rx,0°00',4°27',4
May 26 2028,Evening Setting (Last day of visibility),15° Gemini,9°45' E,Rx,-0°33',2°13',4
Jun 1 2028,New Venus - Inferior Conjunction,11° Gemini,0°00' W,Rx,-0°37',0°49',5
Jan 6 2030,New Venus - Inferior Conjunction,16° Capricorn,0°00' W,Rx,-0°36',4°30',4
Aug 11 2031,New Venus - Inferior Conjunction,18° Leo,0°00' W,Rx,-0°37',-7°31',5
Mar 20 2033,New Venus - Inferior Conjunction,00° Aries,0°00' W,Rx,-0°37',8°30',5
Oct 21 2034,New Venus - Inferior Conjunction,28° Libra,0°00' W,Rx,-0°36',-6°45',5
May 30 2036,New Venus - Inferior Conjunction,09° Gemini,0°00' W,Rx,-0°37',1°08',5
