URL,Width,Height,Type,Aspect Ratio
"https://fapello.com/assets/images/logo.png",468,94,img element,4.98
"https://fapello.com/assets/images/logo-light.png",325,86,img element,3.78
"https://fapello.com/assets/images/porndude.png",32,32,img element,1.00
"https://fapello.com/content/l/y/lysa-joanna-chan/1000/lysa-joanna-chan_0004.jpg",300,300,img element,1.00
"https://fapello.com/content/l/a/lari-cogumelos/1000/lari-cogumelos_0040.jpg",300,300,img element,1.00
"https://fapello.com/content/c/u/cutiewet/1000/cutiewet_0081.jpg",300,300,img element,1.00
"https://fapello.com/content/a/m/amber-deluca/1000/amber-deluca_0005.jpg",300,300,img element,1.00
"https://fapello.com/content/i/n/indiadyme/1000/indiadyme_0002.jpg",300,300,img element,1.00
"https://fapello.com/assets/images/logo-mobile.png",320,85,img element,3.76
"https://fapello.com/assets/images/logo-mobile-light.png",325,86,img element,3.78
"https://fapello.com/content/c/h/christina-model/1000/christina-model_0011.jpg",300,300,img element,1.00
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2105_300px.jpg",300,743,img element,0.40
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2104_300px.jpg",300,450,img element,0.67
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2103_300px.jpg",300,375,img element,0.80
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2102_300px.jpg",300,375,img element,0.80
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2101_300px.jpg",300,523,img element,0.57
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2100_300px.jpg",300,529,img element,0.57
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2099_300px.jpg",451,300,img element,1.50
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2098_300px.jpg",300,457,img element,0.66
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2097_300px.jpg",533,300,img element,1.78
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2096_300px.jpg",300,461,img element,0.65
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2095_300px.jpg",451,300,img element,1.50
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2094_300px.jpg",300,458,img element,0.66
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2093_300px.jpg",452,300,img element,1.51
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2092_300px.jpg",533,300,img element,1.78
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2091_300px.jpg",300,447,img element,0.67
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2090_300px.jpg",300,458,img element,0.66
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2089_300px.jpg",300,452,img element,0.66
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2088_300px.jpg",300,452,img element,0.66
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2087_300px.jpg",300,383,img element,0.78
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2086_300px.jpg",442,300,img element,1.47
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2085_300px.jpg",300,447,img element,0.67
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2084_300px.jpg",460,300,img element,1.53
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2083_300px.jpg",533,300,img element,1.78
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2082_300px.jpg",300,533,img element,0.56
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2081_300px.jpg",300,370,img element,0.81
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2080_300px.jpg",533,300,img element,1.78
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2079_300px.jpg",300,420,img element,0.71
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2078_300px.jpg",541,300,img element,1.80
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2077_300px.jpg",555,300,img element,1.85
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2076_300px.jpg",300,422,img element,0.71
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2075_300px.jpg",300,349,img element,0.86
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2074_300px.jpg",300,480,img element,0.63
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2073_300px.jpg",300,450,img element,0.67
"https://fapello.com/content/c/h/christina-model/3000/christina-model_2072_300px.jpg",533,300,img element,1.78
