weight_or_number,name
0.5,Sun
0.5,Moon
0.5,Mercury
0.5,Venus
0.5,Mars
0.5,Jupiter
0.5,Saturn
0.5,Uranus
0.5,Neptune
0.5,Pluto
0.5,North Node
0.5,South Node
0.5,ASCENDANT
0.5,MC
0.5,VERTEX
0.8,Cupido
0.8,Hades
0.8,Zeus
0.8,Kronos
0.8,Apollon
0.8,Admetos
0.8,Vulkanus
0.8,Poseidon
,
1,Ceres
,
2,Pallas
,
3,Juno
,
4,Vesta
,
5,Astraea
,
6,Hebe
,
7,Iris
,
10,Hygiea
,
16,Psyche
,
30,Urania
,
34,Circe
42,Isis
55,Pandora
71,Niobe
75,Eurydike
78,Diana
80,Sappho
81,Terpsichore
93,Minerva
97,Klotho
100,Hekate
103,Hera
114,Kassandra
120,Lachesis
128,Nemesis
140,Siwa
157,Dejanira
171,Ophelia
273,Atropos
318,Magdalena
389,Industria
399,Persephone
407,Arachne
430,Hybris
433,Eros
443,Photographica
588,Achilles
896,Sphinx
944,Hidalgo
1170,Siva
1181,Lilith
1198,Atlantis
1221,Amor
1247,Memoria
1388,Aphrodite
1488,Aura
1566,Icarus
1685,Toro
1862,Apollo
1866,Sisyphus
1923,Osiris
2060,Chiron
2063,Bacchus
2102,Tantalus
2212,Hephaistos
2254,Requiem
2878,Panacea
2938,Hopi
3200,Phaethon
3361,Orpheus
3671,Dionysus
3671,Dionysus
3811,Karma
3811,Karma
3811,Karma
4227,Kaali
4580,Child
4581,Asclepius
4946,Askalaphus
4950,House
5011,Ptah
5143,Heracles
5145,Pholus
5335,Damocles
6235,Burney
7066,Nessus
8405,Asbolus
9248,Sauer
10199,Chariklo
10370,Hylonome
15760,Albion
15810,Arawn
19521,Chaos
20000,Varuna
25143,Itokawa
28978,Ixion
31824,Elatus
32532,Thereus
37117,Narcissus
38083,Rhadamanthus
38628,Huya
42355,Typhon
47171,Lempo
49036,Pelion
50000,Quaoar
52872,Okyrhoe
52975,Cyllarus
53311,Deucalion
54598,Bienor
55576,Amycus
58534,Logos
60558,Echeclus
65489,Ceto
66652,Borasisi
69230,Hermes
79360,Sila-Nunam
83982,Crantor
88611,Teharonhiawako
90377,Sedna 2003 VB12
90482,Orcus
99942,Apophis
120347,Salacia
121725,Aphidas
134340,Pluto-Charon
136108,Haumea
136199,Eris
136472,Makemake
148780,Altjira
174567,Varda
184314,Mbabamwanawaresa
225088,Gonggong
229762,G!kun||'homdima
330836,Orius
341520,Mors-Somnus
346889,Rhiphonos
385446,Manwe
420356,Praamzius
471143,Dziewanna
472235,Zhulong
486958,Arrokoth
541132,Leleakuhonua
,Isis-Transpluto
,Gal. Center
,Great Attractor
,ARMC
