chart_id,pair_id,tree_name,node_name,aspect,orb,harmonic_layer,score,classification
C001,WIL-JAD,relationship_marriage_tree,VE/CU,conjunction,0.24,9th,52.36,Strong
C001,WIL-JAD,relationship_marriage_tree,JU/VE/CU,trine,0.95,7th,48.36,Strong
C001,WIL-JAD,relationship_marriage_tree,AR/VE/CU,conjunction,0.17,5th,50.36,Strong
C002,PAU-JOA,relationship_marriage_tree,VE/CU,conjunction,0.43,9th,87.65,Extreme
C002,PAU-JOA,relationship_marriage_tree,JU/VE/CU,trine,0.18,7th,83.65,Very_Strong
C002,PAU-JOA,relationship_marriage_tree,AR/VE/CU,conjunction,0.56,5th,85.65,Extreme
C003,ELI-RIC,relationship_marriage_tree,VE/CU,conjunction,0.49,9th,43.2,Moderate
C003,ELI-RIC,relationship_marriage_tree,JU/VE/CU,trine,0.19,7th,39.2,Strong
C003,ELI-RIC,relationship_marriage_tree,AR/VE/CU,conjunction,0.18,5th,41.2,Strong
C004,JOH-YOK,relationship_marriage_tree,VE/CU,conjunction,0.84,9th,55.58,Strong
C004,JOH-YOK,relationship_marriage_tree,JU/VE/CU,trine,0.26,7th,51.58,Strong
C004,JOH-YOK,relationship_marriage_tree,AR/VE/CU,conjunction,0.3,5th,53.58,Strong
C005,BEY-JAY,relationship_marriage_tree,VE/CU,conjunction,0.95,9th,89.29,Extreme
C005,BEY-JAY,relationship_marriage_tree,JU/VE/CU,trine,0.85,7th,85.29,Extreme
C005,BEY-JAY,relationship_marriage_tree,AR/VE/CU,conjunction,0.46,5th,87.29,Extreme
C006,CHR-JOH,relationship_marriage_tree,VE/CU,conjunction,0.14,9th,95.57,Extreme
C006,CHR-JOH,relationship_marriage_tree,JU/VE/CU,trine,1.22,7th,91.57,Extreme
C006,CHR-JOH,relationship_marriage_tree,AR/VE/CU,conjunction,0.36,5th,93.57,Extreme
C007,TOM-RIT,relationship_marriage_tree,VE/CU,conjunction,0.21,9th,80.6,Very_Strong
C007,TOM-RIT,relationship_marriage_tree,JU/VE/CU,trine,0.5,7th,76.6,Very_Strong
C007,TOM-RIT,relationship_marriage_tree,AR/VE/CU,conjunction,0.83,5th,78.6,Very_Strong
C008,MIC-CAT,relationship_marriage_tree,VE/CU,conjunction,0.62,9th,81.25,Very_Strong
C008,MIC-CAT,relationship_marriage_tree,JU/VE/CU,trine,0.93,7th,77.25,Very_Strong
C008,MIC-CAT,relationship_marriage_tree,AR/VE/CU,conjunction,0.44,5th,79.25,Very_Strong
C009,GOL-KUR,relationship_marriage_tree,VE/CU,conjunction,0.16,9th,87.86,Extreme
C009,GOL-KUR,relationship_marriage_tree,JU/VE/CU,trine,0.18,7th,83.86,Very_Strong
C009,GOL-KUR,relationship_marriage_tree,AR/VE/CU,conjunction,0.29,5th,85.86,Extreme
C010,VIC-DAV,relationship_marriage_tree,VE/CU,conjunction,0.48,9th,90.25,Extreme
C010,VIC-DAV,relationship_marriage_tree,JU/VE/CU,trine,0.51,7th,86.25,Extreme
C010,VIC-DAV,relationship_marriage_tree,AR/VE/CU,conjunction,0.63,5th,88.25,Extreme
C011,OPR-STE,relationship_marriage_tree,VE/CU,conjunction,0.37,9th,56.5,Strong
C011,OPR-STE,relationship_marriage_tree,JU/VE/CU,trine,1.13,7th,52.5,Strong
C011,OPR-STE,relationship_marriage_tree,AR/VE/CU,conjunction,0.73,5th,54.5,Strong
C012,MER-DON,relationship_marriage_tree,VE/CU,conjunction,0.62,9th,49.81,Moderate
C012,MER-DON,relationship_marriage_tree,JU/VE/CU,trine,0.78,7th,45.81,Strong
C012,MER-DON,relationship_marriage_tree,AR/VE/CU,conjunction,0.89,5th,47.81,Strong
C013,BLA-RYA,relationship_marriage_tree,VE/CU,conjunction,0.36,9th,91.13,Extreme
C013,BLA-RYA,relationship_marriage_tree,JU/VE/CU,trine,1.37,7th,87.13,Extreme
C013,BLA-RYA,relationship_marriage_tree,AR/VE/CU,conjunction,0.21,5th,89.13,Extreme
C014,ALI-SWI,relationship_marriage_tree,VE/CU,conjunction,0.78,9th,55.38,Strong
