"column","type","purpose"
"chart_id","string","Unique identifier for the synastry record"
"pair_id","string","Identifies the two people or charts being compared"
"tree_name","string","Example: relationship_marriage_tree, leadership_tree_ZE_KR"
"node_name","string","Example: VE/CU, MO/VE/CU, AR/VE/CU"
"node_role","string","Human-readable meaning of the node"
"aspect","string","Example: conjunction, trine, square, opposition"
"orb","number","Exact orb in degrees"
"harmonic_layer","string","Example: 5th, 7th, 9th, 11th"
"harmonic_flag","boolean","Whether that harmonic confirmed the pattern"
"base_weight","number","Core node weight"
"orb_factor","number","Orb decay multiplier"
"aspect_factor","number","Aspect multiplier"
"harmonic_factor","number","Harmonic multiplier"
"support_factor","number","Supporting-house or repetition multiplier"
"replication_factor","number","Confirms repeated pattern strength"
"score","number","Final computed row score"
"classification","string","Example: Weak, Moderate, Strong, Very_Strong, Extreme"
"evidence_tag","string","Example: marriage, public_union, emotional_bond"
"notes","string","Short interpretation note"
