couple_name,verified,marriage_years,promise_score,timing_score,mean_weight,volatility_score,vol_adj_score,marriage_success_label,source_ids
Dolly Parton / Carl Dean,False,59,85.47699907107862,74.50169976607222,73.38976032662362,12.96109054123704,64.91373388457727,Very_Strong,
Ina Garten / Jeffrey Garten,False,56,81.03214989180171,70.89735103732461,88.11366910705362,14.775528603281487,64.59118795430713,Strong,
Kevin Bacon / Kyra Sedgwick,False,37,86.53381976670485,81.51397866076219,76.91901665157239,25.39985558353241,66.35655633848435,Very_Strong,
Kelly Ripa / Mark Consuelos,False,29,92.66120899485618,71.7358073958303,70.65373442626459,20.40532802697923,64.83450049155586,Strong,
Leslie Mann / Judd Apatow,False,28,80.36092637693665,67.70157038931767,81.93526947261914,5.658718912460863,63.56377386483561,Moderate,
Denzel Washington / Pauletta Washington,True,40,80.36104130135574,90.72519015137243,69.67493810017386,20.268587785763565,66.76326748258063,Extreme,web:414
Bill Clinton / Hillary Clinton,False,51,93.05448970855174,77.19378959610772,78.25318157002853,15.304424037085784,68.90238614466541,Extreme,
Samuel L. Jackson / LaTanya Richardson Jackson,True,46,87.37204310407036,79.5402256375034,65.24197925672135,13.261545997858288,65.70909348229114,Very_Strong,web:391
Martin Sheen / Janet Sheen,False,64,78.71367929845533,67.60201451029235,69.03088370660942,22.281734021886074,58.154614713778074,Weak,
Kirk Douglas / Anne Buydens,False,63,85.79792030510175,74.64493820379855,78.18116741521474,25.216996657471658,64.09418314710602,Moderate,
Jerry Stiller / Anne Meara,False,61,78.75607615031277,79.88738071767892,81.43079947997246,24.518960833813388,64.11960130926342,Strong,
Sam Elliott / Katharine Ross,False,42,78.7398917250082,69.79205138062157,78.02820968713982,12.12547733744153,62.02919628517685,Moderate,
Tim McGraw / Faith Hill,False,30,83.69373590096224,82.00558414676537,76.30611030567056,15.835513369041498,66.8774858244242,Extreme,
Bono / Ali Hewson,False,42,68.60703828739541,74.19489048064956,75.19337782646427,20.318844019824947,58.29768828211862,Weak,
Pete Seeger / Toshi Aline Ohta,False,69,69.92557517240877,76.66645000165379,68.12886805779544,24.828815889856514,57.61349792608944,Weak,
