Symbol,Description,Astrological Association,Sex Symbolism,Cultural Origin,Page References
Circle,"Represents eternity, wholeness, and the sun's disk; encloses other symbols.","Solar path, zodiac wheel, infinite cycles.",Encompassing female receptivity.,Ancient Egyptian/Assyrian.,"5, 17, 31, 111, 321, 428"
Triangle,"Emblem of fire, trinity, and upward aspiration; often radiant.","Fire element, trine aspects (120° harmony).","Male principle, phallic potency.",Pythagorean/Hindu.,"5, 18, 26, 312, 416, 425-454"
Serpent,"Symbol of regeneration, wisdom, and coiled energy; guardian of trees.","Scorpio (transformation), kundalini in houses.",Phallic yet dual (temptation/union).,Biblical/Indian.,"5, 16, 35, 99-107, 136-144, 187-206"
Swastika,"Denotes solar motion, good fortune, and cyclic change.","Solar revolutions, Jupiter's benevolence.",Rotating male-female energies.,Indo-European/Chinese.,"5, 17, 22, 91, 223-230, 303-319"
Tree of Life,"Axis connecting heaven-earth, with roots in underworld; fruitful branches.","Capricorn (structure), planetary tree sephiroth.","Phallic trunk, fertile branches.",Kabbalistic/Assyrian.,"5, 91-117, 131-162, 274"
Zodiac,"Twelvefold division of the heavens, embodying life stages.","Full astrological system, signs/elements.",Masculine/feminine polarities.,Babylonian/Greek.,"241-256, 321-339, 513"
Sun,"Radiant source of life, often circled or triangular.","Leo ruler, vital energy in charts.",Male creative force.,Solar cults worldwide.,"244, 274, 326"
Moon,"Cyclic, reflective body; linked to water and emotions.","Cancer ruler, lunar phases.",Female nurturing/receptivity.,"Lunar goddesses (e.g., Isis).","Implied in 326, 397"
Planets,"Celestial influencers, each with symbolic attributes.","Rulerships (e.g., Venus: harmony).",Gendered energies (Mars: assertive).,Astrological traditions.,"326, 397, 430, 514"
Cross,"Intersection of vertical-horizontal, symbolizing sacrifice and union.","Cardinal signs, oppositions.",Union of opposites.,Christian/Egyptian (ankh).,"100, 111, 316"
