"Trait","Source","Description","Rating Range"
"Vitality (Sun)","Natal Sun","Energy, confidence, leadership","1 - 20"
"Emotional Intelligence (Moon)","Natal Moon","Empathy, instinct, mood regulation","1 - 20"
"Communication (Mercury)","Natal Mercury","Mental sharpness, expression","1 - 20"
"Charm (Venus)","Natal Venus","Sociability, attractiveness","1 - 20"
"Drive (Mars)","Natal Mars","Courage, action orientation","1 - 20"
"Luck (Jupiter)","Natal Jupiter","Openness, fortune","1 - 20"
"Discipline (Saturn)","Natal Saturn","Focus, responsibility","1 - 20"
"Mystic Awareness (Neptune/Pluto/Uranus)","Outer planets & Harmonics","Spiritual depth, transformative force","1 - 20"
"Karmic Insight (Nodes & Chiron)","Nodes, Chiron","Life lessons, healing capacity","1 - 20"
"Commitment Strength (Juno)","Asteroids","Loyalty, relationship anchors","1 - 20"
"Interpersonal Harmony","Synastry Venus, Mercury, Moon","Mutual attraction and understanding","1 - 20"
"Conflict Potential","Hard synastry aspects (Mars-Saturn etc.)","Probability of challenges and confrontation","1 - 20"
"Spiritual Connection","Romantic Super-Linkages & Harmonics","Depth of soul connection","1 - 20"
"Growth Cycles","Progressions & Returns","Potential for personal and relational evolution","1 - 20"
"Fate Interventions","Parans, Transits","External influences and timely events","1 - 20"
